year,type_activity,age_group,value,unit,source
2559,รับ-ส่ง อีเมล,6 - 10 ปี,93574,คน,สำนักงานสถิติแห่งชาติ
2559,รับ-ส่ง อีเมล,11 - 14 ปี,542950,คน,สำนักงานสถิติแห่งชาติ
2559,รับ-ส่ง อีเมล,15 - 19 ปี,1619448,คน,สำนักงานสถิติแห่งชาติ
2559,รับ-ส่ง อีเมล,20 - 24 ปี,1441830,คน,สำนักงานสถิติแห่งชาติ
2559,รับ-ส่ง อีเมล,25 - 29 ปี,1471852,คน,สำนักงานสถิติแห่งชาติ
2559,รับ-ส่ง อีเมล,30 - 34 ปี,1364906,คน,สำนักงานสถิติแห่งชาติ
2559,รับ-ส่ง อีเมล,35 - 39 ปี,1227903,คน,สำนักงานสถิติแห่งชาติ
2559,รับ-ส่ง อีเมล,40 - 49 ปี,1618502,คน,สำนักงานสถิติแห่งชาติ
2559,รับ-ส่ง อีเมล,50 - 59 ปี,916809,คน,สำนักงานสถิติแห่งชาติ
2559,รับ-ส่ง อีเมล,60 ปีขึ้นไป,201199,คน,สำนักงานสถิติแห่งชาติ
2560,รับ-ส่ง อีเมล,รวม,10861346,คน,สำนักงานสถิติแห่งชาติ
2560,รับ-ส่ง อีเมล,6 - 10 ปี,108913,คน,สำนักงานสถิติแห่งชาติ
2560,รับ-ส่ง อีเมล,11 - 14 ปี,520946,คน,สำนักงานสถิติแห่งชาติ
2560,รับ-ส่ง อีเมล,15 - 19 ปี,1569890,คน,สำนักงานสถิติแห่งชาติ
2560,รับ-ส่ง อีเมล,20 - 24 ปี,1459167,คน,สำนักงานสถิติแห่งชาติ
2560,รับ-ส่ง อีเมล,25 - 29 ปี,1453068,คน,สำนักงานสถิติแห่งชาติ
2560,รับ-ส่ง อีเมล,30 - 34 ปี,1379178,คน,สำนักงานสถิติแห่งชาติ
2560,รับ-ส่ง อีเมล,35 - 39 ปี,1304592,คน,สำนักงานสถิติแห่งชาติ
2560,รับ-ส่ง อีเมล,40 - 49 ปี,1765556,คน,สำนักงานสถิติแห่งชาติ
2560,รับ-ส่ง อีเมล,50 - 59 ปี,1066907,คน,สำนักงานสถิติแห่งชาติ
2560,รับ-ส่ง อีเมล,60 ปีขึ้นไป,233130,คน,สำนักงานสถิติแห่งชาติ
2561,รับ-ส่ง อีเมล,รวม,13879884,คน,สำนักงานสถิติแห่งชาติ
2561,รับ-ส่ง อีเมล,6 - 9 ปี,86577,คน,สำนักงานสถิติแห่งชาติ
2561,รับ-ส่ง อีเมล,10 - 14 ปี,1233169,คน,สำนักงานสถิติแห่งชาติ
2561,รับ-ส่ง อีเมล,15 - 19 ปี,2451345,คน,สำนักงานสถิติแห่งชาติ
2561,รับ-ส่ง อีเมล,20 - 24 ปี,1816556,คน,สำนักงานสถิติแห่งชาติ
2561,รับ-ส่ง อีเมล,25 - 29 ปี,1657557,คน,สำนักงานสถิติแห่งชาติ
2561,รับ-ส่ง อีเมล,30 - 34 ปี,1518605,คน,สำนักงานสถิติแห่งชาติ
2561,รับ-ส่ง อีเมล,35 - 39 ปี,1485742,คน,สำนักงานสถิติแห่งชาติ
2561,รับ-ส่ง อีเมล,40 - 49 ปี,2029040,คน,สำนักงานสถิติแห่งชาติ
2561,รับ-ส่ง อีเมล,50 - 59 ปี,1272071,คน,สำนักงานสถิติแห่งชาติ
2561,รับ-ส่ง อีเมล,60 ปีขึ้นไป,329222,คน,สำนักงานสถิติแห่งชาติ
2556,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,รวม,7792912,คน,สำนักงานสถิติแห่งชาติ
2556,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,6 - 10 ปี,176080,คน,สำนักงานสถิติแห่งชาติ
2556,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,11 - 14 ปี,655855,คน,สำนักงานสถิติแห่งชาติ
2556,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,15 - 19 ปี,1340685,คน,สำนักงานสถิติแห่งชาติ
2556,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,20 - 24 ปี,1023997,คน,สำนักงานสถิติแห่งชาติ
2556,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,25 - 29 ปี,1031666,คน,สำนักงานสถิติแห่งชาติ
2556,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,30 - 34 ปี,999295,คน,สำนักงานสถิติแห่งชาติ
2556,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,35 - 39 ปี,840502,คน,สำนักงานสถิติแห่งชาติ
2556,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,40 - 49 ปี,1042601,คน,สำนักงานสถิติแห่งชาติ
2556,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,50 - 59 ปี,565696,คน,สำนักงานสถิติแห่งชาติ
2556,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,60 ปีขึ้นไป,116535,คน,สำนักงานสถิติแห่งชาติ
2557,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,รวม,9596369,คน,สำนักงานสถิติแห่งชาติ
2557,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,6 - 10 ปี,145405,คน,สำนักงานสถิติแห่งชาติ
2557,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,11 - 14 ปี,647233,คน,สำนักงานสถิติแห่งชาติ
2557,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,15 - 19 ปี,1477918,คน,สำนักงานสถิติแห่งชาติ
2557,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,20 - 24 ปี,1402072,คน,สำนักงานสถิติแห่งชาติ
2557,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,25 - 29 ปี,1345720,คน,สำนักงานสถิติแห่งชาติ
2557,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,30 - 34 ปี,1270173,คน,สำนักงานสถิติแห่งชาติ
2557,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,35 - 39 ปี,1103707,คน,สำนักงานสถิติแห่งชาติ
2557,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,40 - 49 ปี,1333243,คน,สำนักงานสถิติแห่งชาติ
2557,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,50 - 59 ปี,723218,คน,สำนักงานสถิติแห่งชาติ
2557,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,60 ปีขึ้นไป,147679,คน,สำนักงานสถิติแห่งชาติ
2558,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,รวม,10860084,คน,สำนักงานสถิติแห่งชาติ
2558,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,6 - 10 ปี,132309,คน,สำนักงานสถิติแห่งชาติ
2558,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,11 - 14 ปี,562820,คน,สำนักงานสถิติแห่งชาติ
2558,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,15 - 19 ปี,1561332,คน,สำนักงานสถิติแห่งชาติ
2558,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,20 - 24 ปี,1630316,คน,สำนักงานสถิติแห่งชาติ
2558,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,25 - 29 ปี,1594043,คน,สำนักงานสถิติแห่งชาติ
2558,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,30 - 34 ปี,1517408,คน,สำนักงานสถิติแห่งชาติ
2558,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,35 - 39 ปี,1269410,คน,สำนักงานสถิติแห่งชาติ
2558,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,40 - 49 ปี,1583024,คน,สำนักงานสถิติแห่งชาติ
2558,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,50 - 59 ปี,793286,คน,สำนักงานสถิติแห่งชาติ
2558,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,60 ปีขึ้นไป,216136,คน,สำนักงานสถิติแห่งชาติ
2559,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,รวม,12183197,คน,สำนักงานสถิติแห่งชาติ
2559,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,6 - 10 ปี,106911,คน,สำนักงานสถิติแห่งชาติ
2559,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,11 - 14 ปี,509738,คน,สำนักงานสถิติแห่งชาติ
2559,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,15 - 19 ปี,1565617,คน,สำนักงานสถิติแห่งชาติ
2559,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,20 - 24 ปี,1685878,คน,สำนักงานสถิติแห่งชาติ
2559,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,25 - 29 ปี,1778833,คน,สำนักงานสถิติแห่งชาติ
2559,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,30 - 34 ปี,1660086,คน,สำนักงานสถิติแห่งชาติ
2559,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,35 - 39 ปี,1543175,คน,สำนักงานสถิติแห่งชาติ
2559,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,40 - 49 ปี,2035694,คน,สำนักงานสถิติแห่งชาติ
2559,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,50 - 59 ปี,1032495,คน,สำนักงานสถิติแห่งชาติ
2559,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,60 ปีขึ้นไป,264770,คน,สำนักงานสถิติแห่งชาติ
2560,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,รวม,13475815,คน,สำนักงานสถิติแห่งชาติ
2560,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,6 - 10 ปี,132212,คน,สำนักงานสถิติแห่งชาติ
2560,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,11 - 14 ปี,526973,คน,สำนักงานสถิติแห่งชาติ
2560,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,15 - 19 ปี,1665552,คน,สำนักงานสถิติแห่งชาติ
2560,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,20 - 24 ปี,1883756,คน,สำนักงานสถิติแห่งชาติ
2560,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,25 - 29 ปี,1868527,คน,สำนักงานสถิติแห่งชาติ
2560,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,30 - 34 ปี,1716067,คน,สำนักงานสถิติแห่งชาติ
2560,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,35 - 39 ปี,1677574,คน,สำนักงานสถิติแห่งชาติ
2560,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,40 - 49 ปี,2353543,คน,สำนักงานสถิติแห่งชาติ
2560,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,50 - 59 ปี,1272672,คน,สำนักงานสถิติแห่งชาติ
2560,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,60 ปีขึ้นไป,378939,คน,สำนักงานสถิติแห่งชาติ
2561,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,รวม,16243297,คน,สำนักงานสถิติแห่งชาติ
2561,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,6 - 9 ปี,76811,คน,สำนักงานสถิติแห่งชาติ
2561,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,10 - 14 ปี,833542,คน,สำนักงานสถิติแห่งชาติ
2561,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,15 - 19 ปี,1887735,คน,สำนักงานสถิติแห่งชาติ
2561,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,20 - 24 ปี,2166334,คน,สำนักงานสถิติแห่งชาติ
2561,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,25 - 29 ปี,2191287,คน,สำนักงานสถิติแห่งชาติ
2561,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,30 - 34 ปี,2027250,คน,สำนักงานสถิติแห่งชาติ
2561,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,35 - 39 ปี,1952523,คน,สำนักงานสถิติแห่งชาติ
2561,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,40 - 49 ปี,2946677,คน,สำนักงานสถิติแห่งชาติ
2561,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,50 - 59 ปี,1619818,คน,สำนักงานสถิติแห่งชาติ
2561,ค้นหาข้อมูลเกี่ยวกับสินค้า/บริการ,60 ปีขึ้นไป,541320,คน,สำนักงานสถิติแห่งชาติ
2556,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,รวม,971405,คน,สำนักงานสถิติแห่งชาติ
2556,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,6 - 10 ปี,3841,คน,สำนักงานสถิติแห่งชาติ
2556,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,11 - 14 ปี,21001,คน,สำนักงานสถิติแห่งชาติ
2556,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,15 - 19 ปี,79497,คน,สำนักงานสถิติแห่งชาติ
2556,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,20 - 24 ปี,141521,คน,สำนักงานสถิติแห่งชาติ
2556,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,25 - 29 ปี,175361,คน,สำนักงานสถิติแห่งชาติ
2556,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,30 - 34 ปี,179601,คน,สำนักงานสถิติแห่งชาติ
2556,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,35 - 39 ปี,132491,คน,สำนักงานสถิติแห่งชาติ
2556,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,40 - 49 ปี,148125,คน,สำนักงานสถิติแห่งชาติ
2556,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,50 - 59 ปี,73684,คน,สำนักงานสถิติแห่งชาติ
2556,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,60 ปีขึ้นไป,16285,คน,สำนักงานสถิติแห่งชาติ
2557,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,รวม,1279301,คน,สำนักงานสถิติแห่งชาติ
2557,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,6 - 10 ปี,4426,คน,สำนักงานสถิติแห่งชาติ
2557,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,11 - 14 ปี,16124,คน,สำนักงานสถิติแห่งชาติ
2557,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,15 - 19 ปี,105522,คน,สำนักงานสถิติแห่งชาติ
2557,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,20 - 24 ปี,236945,คน,สำนักงานสถิติแห่งชาติ
2557,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,25 - 29 ปี,209774,คน,สำนักงานสถิติแห่งชาติ
2557,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,30 - 34 ปี,208415,คน,สำนักงานสถิติแห่งชาติ
2557,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,35 - 39 ปี,192307,คน,สำนักงานสถิติแห่งชาติ
2557,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,40 - 49 ปี,187510,คน,สำนักงานสถิติแห่งชาติ
2557,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,50 - 59 ปี,96318,คน,สำนักงานสถิติแห่งชาติ
2557,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,60 ปีขึ้นไป,21959,คน,สำนักงานสถิติแห่งชาติ
2558,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,รวม,1519005,คน,สำนักงานสถิติแห่งชาติ
2558,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,6 - 10 ปี,1621,คน,สำนักงานสถิติแห่งชาติ
2558,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,11 - 14 ปี,17144,คน,สำนักงานสถิติแห่งชาติ
2558,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,15 - 19 ปี,132659,คน,สำนักงานสถิติแห่งชาติ
2558,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,20 - 24 ปี,283646,คน,สำนักงานสถิติแห่งชาติ
2558,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,25 - 29 ปี,277858,คน,สำนักงานสถิติแห่งชาติ
2558,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,30 - 34 ปี,239173,คน,สำนักงานสถิติแห่งชาติ
2558,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,35 - 39 ปี,200201,คน,สำนักงานสถิติแห่งชาติ
2558,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,40 - 49 ปี,251495,คน,สำนักงานสถิติแห่งชาติ
2558,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,50 - 59 ปี,97159,คน,สำนักงานสถิติแห่งชาติ
2558,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,60 ปีขึ้นไป,18049,คน,สำนักงานสถิติแห่งชาติ
2559,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,รวม,2170715,คน,สำนักงานสถิติแห่งชาติ
2559,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,6 - 10 ปี,4224,คน,สำนักงานสถิติแห่งชาติ
2559,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,11 - 14 ปี,25554,คน,สำนักงานสถิติแห่งชาติ
2559,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,15 - 19 ปี,220015,คน,สำนักงานสถิติแห่งชาติ
2559,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,20 - 24 ปี,365951,คน,สำนักงานสถิติแห่งชาติ
2559,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,25 - 29 ปี,392647,คน,สำนักงานสถิติแห่งชาติ
2559,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,30 - 34 ปี,361106,คน,สำนักงานสถิติแห่งชาติ
2559,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,35 - 39 ปี,286148,คน,สำนักงานสถิติแห่งชาติ
2559,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,40 - 49 ปี,340044,คน,สำนักงานสถิติแห่งชาติ
2559,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,50 - 59 ปี,147016,คน,สำนักงานสถิติแห่งชาติ
2559,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,60 ปีขึ้นไป,28010,คน,สำนักงานสถิติแห่งชาติ
2560,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,รวม,2923391,คน,สำนักงานสถิติแห่งชาติ
2560,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,6 - 10 ปี,3433,คน,สำนักงานสถิติแห่งชาติ
2560,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,11 - 14 ปี,30907,คน,สำนักงานสถิติแห่งชาติ
2560,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,15 - 19 ปี,285614,คน,สำนักงานสถิติแห่งชาติ
2560,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,20 - 24 ปี,456825,คน,สำนักงานสถิติแห่งชาติ
2560,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,25 - 29 ปี,516014,คน,สำนักงานสถิติแห่งชาติ
2560,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,30 - 34 ปี,460078,คน,สำนักงานสถิติแห่งชาติ
2560,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,35 - 39 ปี,449556,คน,สำนักงานสถิติแห่งชาติ
2560,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,40 - 49 ปี,463962,คน,สำนักงานสถิติแห่งชาติ
2560,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,50 - 59 ปี,199074,คน,สำนักงานสถิติแห่งชาติ
2560,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,60 ปีขึ้นไป,57929,คน,สำนักงานสถิติแห่งชาติ
2561,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,รวม,4501381,คน,สำนักงานสถิติแห่งชาติ
2561,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,6 - 9 ปี,4724,คน,สำนักงานสถิติแห่งชาติ
2561,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,10 - 14 ปี,62945,คน,สำนักงานสถิติแห่งชาติ
2561,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,15 - 19 ปี,437547,คน,สำนักงานสถิติแห่งชาติ
2561,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,20 - 24 ปี,760040,คน,สำนักงานสถิติแห่งชาติ
2561,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,25 - 29 ปี,796685,คน,สำนักงานสถิติแห่งชาติ
2561,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,30 - 34 ปี,674132,คน,สำนักงานสถิติแห่งชาติ
2561,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,35 - 39 ปี,601081,คน,สำนักงานสถิติแห่งชาติ
2561,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,40 - 49 ปี,754694,คน,สำนักงานสถิติแห่งชาติ
2561,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,50 - 59 ปี,338707,คน,สำนักงานสถิติแห่งชาติ
2561,สั่งจอง/สั่งซื้อสินค้า หรือบริการผ่านระบบออนไลน์,60 ปีขึ้นไป,70825,คน,สำนักงานสถิติแห่งชาติ
2556,ทำธุรกิจหรือเสนอขายสินค้า/บริการ,รวม,725517,คน,สำนักงานสถิติแห่งชาติ
2556,ทำธุรกิจหรือเสนอขายสินค้า/บริการ,6 - 10 ปี,2337,คน,สำนักงานสถิติแห่งชาติ
2556,ทำธุรกิจหรือเสนอขายสินค้า/บริการ,11 - 14 ปี,11546,คน,สำนักงานสถิติแห่งชาติ
2556,ทำธุรกิจหรือเสนอขายสินค้า/บริการ,15 - 19 ปี,46415,คน,สำนักงานสถิติแห่งชาติ
2556,ทำธุรกิจหรือเสนอขายสินค้า/บริการ,20 - 24 ปี,80706,คน,สำนักงานสถิติแห่งชาติ
2556,ทำธุรกิจหรือเสนอขายสินค้า/บริการ,25 - 29 ปี,102211,คน,สำนักงานสถิติแห่งชาติ
2556,ทำธุรกิจหรือเสนอขายสินค้า/บริการ,30 - 34 ปี,144767,คน,สำนักงานสถิติแห่งชาติ
2556,ทำธุรกิจหรือเสนอขายสินค้า/บริการ,35 - 39 ปี,120681,คน,สำนักงานสถิติแห่งชาติ
